,date,time,close,high,low,open,volume,totalQuantity,weightedAverage
0,2015-01-02,1420146000000,33.5,33.8,33.05,33.35,28328024.150000002,845993,33.48494
1,2015-01-05,1420405200000,34.7,34.75,33.6,33.6,88019408.9,2555377,34.44478
2,2015-01-06,1420491600000,34.55,35.0,34.2,34.95,58496993.900000006,1690288,34.607710000000004
3,2015-01-07,1420578000000,34.15,34.9,33.85,34.8,36841623.25,1064414,34.612120000000004
4,2015-01-08,1420664400000,34.55,34.6,34.25,34.45,28278500.700000003,820743,34.45476
5,2015-01-09,1420750800000,34.25,34.6,34.25,34.55,32325021.950000003,938739,34.43451
6,2015-01-12,1421010000000,34.7,34.9,34.5,34.6,32550561.1,936155,34.770480000000006
7,2015-01-13,1421096400000,34.6,35.55,34.6,34.85,80015152.55000001,2276980,35.140910000000005
8,2015-01-14,1421182800000,33.7,34.65,33.65,34.4,46057579.00000001,1352535,34.052780000000006
9,2015-01-15,1421269200000,32.1,33.9,32.05,33.85,52799909.1,1617379,32.64535
10,2015-01-16,1421355600000,31.35,32.45,31.35,32.1,39371870.5,1237782,31.808400000000002
11,2015-01-19,1421614800000,30.9,31.55,30.55,31.5,42110922.1,1355915,31.0572
12,2015-01-20,1421701200000,32.4,32.4,31.3,31.4,97023455.95,3040167,31.913860000000003
13,2015-01-21,1421787600000,31.95,32.8,31.95,32.55,39852740.800000004,1231641,32.35743
14,2015-01-22,1421874000000,32.15,32.3,31.55,32.05,32249596.000000004,1006737,32.03378
15,2015-01-23,1421960400000,31.8,32.3,31.8,32.25,25677424.000000004,801607,32.032430000000005
16,2015-01-26,1422219600000,31.85,32.15,31.6,31.8,46693446.00000001,1462275,31.932060000000003
17,2015-01-27,1422306000000,31.85,32.4,31.85,31.95,52250559.85,1629038,32.074490000000004
18,2015-01-28,1422392400000,31.2,32.2,31.2,32.0,37906253.35,1194602,31.73128
19,2015-01-29,1422478800000,30.45,31.15,30.45,31.0,45583344.35,1479636,30.80713
20,2015-01-30,1422565200000,30.45,31.0,30.3,30.6,29621364.8,969686,30.547380000000004
21,2015-02-02,1422824400000,30.4,30.7,30.25,30.5,32443177.750000004,1065162,30.458440000000003
22,2015-02-03,1422910800000,29.3,30.5,29.1,30.4,52603490.400000006,1758146,29.919860000000003
23,2015-02-04,1422997200000,29.25,29.5,29.0,29.3,66725886.50000001,2284122,29.212930000000004
24,2015-02-05,1423083600000,28.9,29.8,28.75,29.35,62155247.00000001,2124567,29.25549
25,2015-02-06,1423170000000,27.95,28.9,27.95,28.9,80022874.65,2819553,28.381400000000003
26,2015-02-09,1423429200000,27.45,28.15,27.3,28.05,41130477.95,1489867,27.606810000000003
27,2015-02-10,1423515600000,28.05,28.35,27.5,27.65,47361035.75000001,1693997,27.958160000000003
28,2015-02-11,1423602000000,27.6,28.6,27.25,28.3,165781734.75,5966701,27.78449
29,2015-02-12,1423688400000,28.05,28.15,27.45,27.6,41815990.95,1503573,27.811080000000004
30,2015-02-13,1423774800000,27.45,28.1,27.4,28.05,30412302.05,1096826,27.72755
31,2015-02-16,1424034000000,28.2,28.45,27.6,27.7,51573223.7,1831868,28.153350000000003
32,2015-02-17,1424120400000,28.45,28.8,28.0,28.1,68336905.30000001,2399471,28.47999
33,2015-02-18,1424206800000,28.5,28.85,28.5,28.5,39792379.800000004,1388027,28.668300000000002
34,2015-02-19,1424293200000,29.4,29.4,28.85,28.9,62219391.75000001,2139475,29.08162
35,2015-02-20,1424379600000,29.0,29.6,28.85,29.4,29325016.700000003,1002506,29.251710000000003
36,2015-02-23,1424638800000,29.2,29.3,28.8,29.1,26799697.900000002,921725,29.075590000000002
37,2015-02-24,1424725200000,29.05,29.3,28.9,29.3,23332624.05,800391,29.15153
38,2015-02-25,1424811600000,28.6,29.4,28.6,29.25,34878088.800000004,1198184,29.109130000000004
39,2015-02-26,1424898000000,28.4,28.9,28.25,28.4,18044178.8,630725,28.60863
40,2015-02-27,1424984400000,28.05,28.6,27.8,28.4,32065734.250000004,1141842,28.08246
41,2015-03-02,1425243600000,27.75,28.3,27.75,28.1,16459688.900000002,587562,28.013540000000003
42,2015-03-03,1425330000000,27.85,28.2,27.85,27.9,14898019.200000001,532328,27.98654
43,2015-03-04,1425416400000,27.05,27.9,27.05,27.9,20360423.35,740757,27.485970000000002
44,2015-03-05,1425502800000,25.75,26.9,25.1,26.8,85337747.45,3315735,25.7372
45,2015-03-06,1425589200000,25.3,26.05,25.25,25.75,49503629.300000004,1922403,25.75091
46,2015-03-09,1425848400000,25.5,25.85,25.4,25.6,15514950.700000001,605683,25.615630000000003
47,2015-03-10,1425934800000,24.65,25.7,24.65,25.5,31016288.05,1236608,25.081750000000003
48,2015-03-11,1426021200000,24.1,24.95,23.85,24.65,43467904.550000004,1780432,24.414250000000003
49,2015-03-12,1426107600000,24.0,24.55,23.85,24.45,21371329.950000003,884199,24.170270000000002
50,2015-03-13,1426194000000,23.35,24.3,23.35,24.2,21334245.8,901838,23.65641
51,2015-03-16,1426453200000,23.85,23.9,23.3,23.85,33020371.150000002,1392066,23.72041
52,2015-03-17,1426539600000,24.75,24.8,23.85,23.95,36115157.0,1491170,24.219340000000003
53,2015-03-18,1426626000000,24.8,25.1,24.55,24.8,26998376.000000004,1088744,24.79773
54,2015-03-19,1426712400000,25.3,25.65,25.15,25.3,34230486.25,1346682,25.418390000000002
55,2015-03-20,1426798800000,24.8,25.5,24.8,25.4,33594985.050000004,1335603,25.15342
56,2015-03-23,1427058000000,25.05,25.25,24.9,24.9,33222240.500000004,1324535,25.08219
57,2015-03-24,1427144400000,24.35,25.1,24.35,25.05,27993908.950000003,1131348,24.743850000000002
58,2015-03-25,1427230800000,24.7,24.95,24.5,24.5,24976833.950000003,1010454,24.71843
59,2015-03-26,1427317200000,23.6,24.15,23.5,24.0,50714655.35,2134359,23.761070000000004
60,2015-03-27,1427403600000,23.45,23.7,23.25,23.6,46667914.550000004,1989955,23.45174
61,2015-03-30,1427659200000,24.85,24.85,23.4,23.5,100009551.25000001,4161488,24.03216
62,2015-03-31,1427745600000,24.25,25.1,24.2,24.9,50722180.800000004,2057458,24.65284
63,2015-04-01,1427832000000,24.4,24.7,24.15,24.4,38603837.85,1578869,24.45031
64,2015-04-02,1427918400000,24.45,24.9,24.35,24.5,52627758.800000004,2131791,24.68711
65,2015-04-03,1428004800000,24.9,25.0,24.55,24.8,47531763.800000004,1917734,24.785380000000004
66,2015-04-06,1428264000000,25.5,25.5,24.9,25.0,76525999.05000001,3032722,25.23344
67,2015-04-07,1428350400000,25.15,25.5,25.05,25.5,54173346.650000006,2143866,25.269000000000002
68,2015-04-08,1428436800000,25.75,25.8,25.15,25.2,88566796.45,3465599,25.55599
69,2015-04-09,1428523200000,26.6,26.65,25.75,25.75,95895670.25000001,3656493,26.22613
70,2015-04-10,1428609600000,26.05,26.7,26.05,26.6,58558216.95,2224815,26.320490000000003
71,2015-04-13,1428868800000,25.7,26.25,25.65,26.0,39872263.25,1539132,25.905680000000004
72,2015-04-14,1428955200000,25.7,25.75,25.0,25.5,48773836.25000001,1924144,25.34833
73,2015-04-15,1429041600000,25.15,25.6,25.15,25.5,38670378.150000006,1524009,25.37411
74,2015-04-16,1429128000000,25.3,25.5,25.2,25.3,30147483.950000003,1188783,25.35996
75,2015-04-17,1429214400000,25.5,25.75,25.35,25.5,30824042.150000002,1205335,25.573010000000004
76,2015-04-20,1429473600000,26.1,26.2,25.6,25.6,76085933.65,2932684,25.94413
77,2015-04-21,1429560000000,26.3,26.35,26.0,26.05,61108180.1,2328903,26.239040000000003
78,2015-04-22,1429646400000,26.25,26.5,26.2,26.4,56183059.2,2132778,26.342670000000002
79,2015-04-24,1429819200000,26.85,26.9,26.15,26.35,153918868.9,5794986,26.5607
80,2015-04-27,1430078400000,27.3,27.45,27.0,27.0,38578638.75,1413104,27.30064
81,2015-04-28,1430164800000,27.55,27.95,27.3,27.35,41837921.85,1512601,27.65959
82,2015-04-29,1430251200000,27.35,27.8,27.35,27.65,21059306.55,762762,27.609280000000002
83,2015-04-30,1430337600000,26.4,27.5,26.25,27.5,38822663.800000004,1452524,26.72773
84,2015-05-04,1430683200000,26.25,26.5,26.0,26.45,26251914.35,998240,26.2982
85,2015-05-05,1430769600000,26.05,26.6,26.05,26.25,39966309.35,1517414,26.338430000000002
86,2015-05-06,1430856000000,25.7,26.25,25.65,26.05,24751161.200000003,953085,25.969520000000003
87,2015-05-07,1430942400000,25.5,25.9,25.3,25.75,52404606.7,2053652,25.517760000000003
88,2015-05-08,1431028800000,25.55,25.65,25.05,25.6,51409047.50000001,2018876,25.464190000000002
89,2015-05-11,1431288000000,25.6,25.9,25.35,25.55,42966162.900000006,1670096,25.726760000000002
90,2015-05-12,1431374400000,25.05,25.55,25.05,25.45,61208513.00000001,2423640,25.254790000000003
91,2015-05-13,1431460800000,25.5,25.7,25.25,25.3,56152639.45,2197945,25.547790000000003
92,2015-05-14,1431547200000,26.2,26.25,25.5,25.6,82488690.9,3179155,25.946730000000002
93,2015-05-15,1431633600000,26.1,26.4,26.1,26.3,43353800.050000004,1652629,26.233230000000002
94,2015-05-18,1431892800000,26.8,26.85,26.15,26.25,53791610.800000004,2026082,26.549570000000003
95,2015-05-20,1432065600000,26.85,27.0,26.6,26.8,104964081.85000001,3916167,26.802760000000003
96,2015-05-21,1432152000000,25.7,26.95,25.65,26.9,78316746.30000001,2961353,26.446270000000002
97,2015-05-22,1432238400000,25.7,26.0,25.55,25.75,28268708.000000004,1097302,25.762010000000004
98,2015-05-25,1432497600000,25.5,25.85,25.4,25.6,15338200.05,599284,25.59421
99,2015-05-26,1432584000000,25.7,26.05,25.4,25.4,27797095.650000002,1077842,25.78958
100,2015-05-27,1432670400000,25.9,25.9,25.55,25.85,24323920.750000004,943691,25.7753
101,2015-05-28,1432756800000,26.35,26.4,25.85,25.95,58357630.550000004,2233653,26.126540000000002
102,2015-05-29,1432843200000,26.05,26.4,25.85,26.35,39093098.1,1495283,26.144280000000002
103,2015-06-01,1433102400000,24.95,25.95,24.9,25.95,23747638.85,933853,25.429740000000002
104,2015-06-02,1433188800000,24.9,25.2,24.65,25.05,25228062.000000004,1009801,24.983200000000004
105,2015-06-03,1433275200000,25.3,25.45,24.9,24.9,27413898.700000003,1087878,25.199420000000003
