,date,time,close,high,low,open,volume,totalQuantity,weightedAverage
0,2015-01-02,1420146000000,9.72,9.79,9.59,9.6,112107463.07000001,11531814,9.721580000000001
1,2015-01-05,1420405200000,10.2,10.2,9.75,9.77,316607024.15000004,31580827,10.02529
2,2015-01-06,1420491600000,10.2,10.45,10.05,10.3,163395242.9,16002799,10.210420000000001
3,2015-01-07,1420578000000,10.05,10.35,9.95,10.25,176674101.70000002,17349803,10.183060000000001
4,2015-01-08,1420664400000,10.1,10.25,10.0,10.25,112656312.15,11103019,10.146460000000001
5,2015-01-09,1420750800000,9.96,10.1,9.87,10.1,242942204.02,24353140,9.975810000000001
6,2015-01-12,1421010000000,9.91,10.1,9.9,10.0,304226111.8,30402699,10.00655
7,2015-01-13,1421096400000,9.87,10.04,9.87,9.99,219412264.14000002,22022152,9.96325
8,2015-01-14,1421182800000,9.71,9.92,9.68,9.89,258919258.54000002,26407737,9.804670000000002
9,2015-01-15,1421269200000,9.33,9.76,9.31,9.73,490644187.47,51806346,9.470740000000001
10,2015-01-16,1421355600000,9.3,9.48,9.27,9.35,295543918.36,31491496,9.38488
11,2015-01-19,1421614800000,9.0,9.4,9.0,9.35,421380419.26000005,46027399,9.154990000000002
12,2015-01-20,1421701200000,9.65,9.66,9.09,9.1,729223279.82,77520068,9.4069
13,2015-01-21,1421787600000,9.45,9.82,9.42,9.7,435166241.17,45246772,9.61762
14,2015-01-22,1421874000000,9.52,9.62,9.26,9.5,543240979.9100001,57438322,9.45781
15,2015-01-23,1421960400000,9.36,9.58,9.36,9.54,380442927.07000005,40099663,9.487430000000002
16,2015-01-26,1422219600000,9.71,9.74,9.36,9.4,345107103.84000003,36125897,9.552900000000001
17,2015-01-27,1422306000000,9.58,9.84,9.53,9.8,374624014.19000006,38729432,9.67285
18,2015-01-28,1422392400000,9.43,9.66,9.43,9.64,207156563.92000002,21734642,9.531170000000001
19,2015-01-29,1422478800000,9.49,9.53,9.36,9.39,180060252.28,19037180,9.458350000000001
20,2015-01-30,1422565200000,9.38,9.68,9.36,9.62,199256455.4,21041297,9.46978
21,2015-02-02,1422824400000,9.25,9.33,9.19,9.28,250120260.66000003,27043774,9.24872
22,2015-02-03,1422910800000,8.89,9.25,8.88,9.24,349004654.78000003,38462084,9.07399
23,2015-02-04,1422997200000,8.99,9.09,8.72,8.92,458426995.3,51330178,8.930940000000001
24,2015-02-05,1423083600000,9.0,9.2,8.81,9.1,254535446.23000002,28123283,9.0507
25,2015-02-06,1423170000000,8.76,9.01,8.72,8.98,182392882.93,20586963,8.859630000000001
26,2015-02-09,1423429200000,8.72,8.83,8.63,8.81,187038987.44000003,21390586,8.74399
27,2015-02-10,1423515600000,8.94,9.02,8.71,8.78,339677372.75,38109712,8.91314
28,2015-02-11,1423602000000,8.98,9.1,8.83,8.98,446184004.52000004,49585328,8.99831
29,2015-02-12,1423688400000,9.28,9.28,8.93,8.96,370853015.82000005,40694323,9.113140000000001
30,2015-02-13,1423774800000,9.1,9.27,9.09,9.27,221634628.86,24206201,9.15611
31,2015-02-16,1424034000000,9.3,9.33,9.14,9.14,202945998.26000002,21961962,9.2408
32,2015-02-17,1424120400000,9.27,9.48,9.2,9.3,401386443.63000005,42988258,9.33712
33,2015-02-18,1424206800000,9.33,9.41,9.26,9.28,274916259.70000005,29378988,9.35758
34,2015-02-19,1424293200000,9.49,9.54,9.42,9.46,192138106.72000003,20267193,9.480250000000002
35,2015-02-20,1424379600000,9.25,9.44,9.25,9.42,168166392.22000003,18025089,9.32957
36,2015-02-23,1424638800000,9.45,9.45,9.18,9.25,160796376.25,17226419,9.334290000000001
37,2015-02-24,1424725200000,9.61,9.63,9.46,9.48,217150481.23000002,22761656,9.54019
38,2015-02-25,1424811600000,9.3,9.77,9.28,9.75,536926280.3100001,56398884,9.52016
39,2015-02-26,1424898000000,9.0,9.33,9.0,9.3,576568398.9200001,62494146,9.22596
40,2015-02-27,1424984400000,9.05,9.16,8.89,9.03,312660571.29,34516681,9.058250000000001
41,2015-03-02,1425243600000,9.02,9.15,9.01,9.08,194235089.51000002,21428216,9.06445
42,2015-03-03,1425330000000,8.95,9.1,8.87,9.08,226088305.06000003,25216748,8.965800000000002
